Google_Addworks,Link,GA,Title,GA_Remarketing,GA_Steroids,Google_Tag_Manager
0,http://www.sidestix.com/,1,SideStix Forearm Crutches,0,0,0
0,http://www.sidestix.com/va/,1,VA - SideStix,0,0,0
0,http://www.sidestix.com/contact/forearm-crutch-rental-locations/,1,Forearm Crutch Rental Locations - SideStix,0,0,0
0,http://www.sidestix.com/retail-affiliate/,1,Retail / Affiliate - SideStix,0,0,0
0,http://www.sidestix.com/retail-locations/,1,Retail Locations - SideStix,0,0,0
0,http://www.sidestix.com/contact/,1,Contact - SideStix,0,0,0
0,http://www.sidestix.com/news-events/,1,News & Events - SideStix,0,0,0
0,http://www.sidestix.com/warranty/,1,Warranty - SideStix,0,0,0
0,http://www.sidestix.com/coverage-options/,1,Insurance Coverage for Crutches - SideStix,0,0,0
0,http://www.sidestix.com/maintenance/,1,Maintenance - SideStix,0,0,0
0,http://www.sidestix.com/how-to-set-up-forearm-crutch/,1,SideStix Fit & Assembly - SideStix,0,0,0
0,http://www.sidestix.com/frequently-asked-questions/,1,Frequently Asked Questions - SideStix,0,0,0
0,http://www.sidestix.com/gallery/,1,Gallery - SideStix,0,0,0
0,http://www.sidestix.com/ergonomic-crutch-research/,1,Research - SideStix,0,0,0
0,http://www.sidestix.com/media-kit/,1,Media - SideStix,0,0,0
0,http://www.sidestix.com/about/,1,About - SideStix,0,0,0
0,http://www.sidestix.com/testimonials/,1,Testimonials - SideStix,0,0,0
0,http://www.sidestix.com/products/accessories/,1,Crutch Accessories - SideStix,0,0,0
0,http://www.sidestix.com/about/meet-the-team/,1,Meet the Team - SideStix,0,0,0
0,http://www.sidestix.com/products/attachments/,1,Crutch Attachments - SideStix,0,0,0
0,http://www.sidestix.com/products/forearm-crutches/,1,Forearm Crutches | Products – SideStix,0,0,0
0,http://www.sidestix.com/products/,1,"Crutches, Crutch Attachments & Acessories - SideStix",0,0,0
Google_Addworks,Link,GA,Title,GA_Remarketing,GA_Steroids,Google_Tag_Manager
0,http://www.sidestix.com/,1,SideStix Forearm Crutches,0,0,0
0,http://www.sidestix.com/va/,1,VA - SideStix,0,0,0
0,http://www.sidestix.com/contact/forearm-crutch-rental-locations/,1,Forearm Crutch Rental Locations - SideStix,0,0,0
0,http://www.sidestix.com/retail-locations/,1,Retail Locations - SideStix,0,0,0
0,http://www.sidestix.com/news-events/,1,News & Events - SideStix,0,0,0
0,http://www.sidestix.com/warranty/,1,Warranty - SideStix,0,0,0
0,http://www.sidestix.com/retail-affiliate/,1,Retail / Affiliate - SideStix,0,0,0
0,http://www.sidestix.com/contact/,1,Contact - SideStix,0,0,0
0,http://www.sidestix.com/coverage-options/,1,Insurance Coverage for Crutches - SideStix,0,0,0
0,http://www.sidestix.com/maintenance/,1,Maintenance - SideStix,0,0,0
0,http://www.sidestix.com/how-to-set-up-forearm-crutch/,1,SideStix Fit & Assembly - SideStix,0,0,0
0,http://www.sidestix.com/frequently-asked-questions/,1,Frequently Asked Questions - SideStix,0,0,0
0,http://www.sidestix.com/about/meet-the-team/,1,Meet the Team - SideStix,0,0,0
0,http://www.sidestix.com/gallery/,1,Gallery - SideStix,0,0,0
0,http://www.sidestix.com/ergonomic-crutch-research/,1,Research - SideStix,0,0,0
0,http://www.sidestix.com/media-kit/,1,Media - SideStix,0,0,0
